Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Macao SAR, China",MAC,Voice and Accountability: Estimate,VA.EST,0.592065155506134,0.628308355808258,0.606116414070129,-0.24322135746479,-0.267725646495819,-0.330587536096573,-0.0673926323652267,-0.0613991841673851,-0.0546205677092075,-0.0684486106038094,-0.325433850288391,-0.290419191122055,-0.534458220005035,-0.531183540821075,-0.509288549423218
Madagascar,MDG,Control of Corruption: Estimate,CC.EST,-0.328544199466705,-0.417824774980545,-0.484609842300415,-0.670311391353607,-0.764158010482788,-0.843135118484497,-0.88030207157135,-0.934988260269165,-1.07430374622345,-1.02106416225433,-1.05258440971375,-1.01050651073456,-0.953181684017181,-0.969914019107819,-1.00018215179443
Madagascar,MDG,Government Effectiveness: Estimate,GE.EST,-0.841211676597595,-0.995213866233826,-1.06907939910889,-1.11727750301361,-1.14748251438141,-1.32273769378662,-1.33208250999451,-1.22864735126495,-1.19451534748077,-1.21214354038239,-1.19339692592621,-1.05303573608398,-1.02791666984558,-0.972033023834229,-1.02277612686157
Madagascar,MDG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.733878493309021,-0.978338837623596,-0.705585896968842,-0.536136984825134,-0.659993410110474,-0.557235836982727,-0.427762925624847,-0.294186472892761,-0.302837282419205,-0.578798413276672,-0.313957303762436,-0.509334743022919,-0.542262673377991,-0.480796605348587,-0.690745651721954
Madagascar,MDG,Regulatory Quality: Estimate,RQ.EST,-0.54454094171524,-0.605530261993408,-0.55234831571579,-0.576099574565887,-0.659140110015869,-0.716764986515045,-0.809338331222534,-0.735103726387024,-0.736412763595581,-0.785894691944122,-0.788889169692993,-0.811572015285492,-0.836634576320648,-0.815499842166901,-0.799546599388123
Madagascar,MDG,Voice and Accountability: Estimate,VA.EST,-0.83152848482132,-0.845434308052063,-0.879346013069153,-0.883270680904388,-0.763428390026093,-0.500259637832642,-0.380922138690948,-0.316786468029022,-0.3454709649086,-0.321546018123627,-0.235004052519798,-0.263206869363785,-0.279159992933273,-0.293677031993866,-0.319516479969025
Malawi,MWI,Control of Corruption: Estimate,CC.EST,-0.40589764714241,-0.48874643445015,-0.426366478204727,-0.477253526449203,-0.619961082935333,-0.761593222618103,-0.794206321239471,-0.784892559051514,-0.687570571899414,-0.765857875347137,-0.783550560474396,-0.39216423034668,-0.322536081075668,-0.608851909637451,-0.602811515331268
Malawi,MWI,Government Effectiveness: Estimate,GE.EST,-0.537756443023682,-0.469919919967651,-0.473825514316559,-0.509652614593506,-0.509584069252014,-0.657211363315582,-0.738582670688629,-0.795695960521698,-0.725338280200958,-0.801393151283264,-0.798645079135895,-0.818265616893768,-0.79249095916748,-0.853226065635681,-0.859506547451019
Malawi,MWI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0536668114364147,0.0438957661390305,-0.072912722826004,-0.00268616923131049,-0.20580980181694,0.0810932070016861,0.0342932753264904,-0.116127513349056,-0.249828174710274,-0.431215286254883,-0.286819607019424,-0.118886552751064,-0.10926304012537,-0.157983273267746,-0.235615640878677
Malawi,MWI,Regulatory Quality: Estimate,RQ.EST,-0.489193111658096,-0.637416422367096,-0.75433361530304,-0.712749183177948,-0.679982602596283,-0.819636702537537,-0.86566561460495,-0.881440103054047,-0.79025799036026,-0.723060786724091,-0.749148666858673,-0.785046398639679,-0.801559805870056,-0.739736258983612,-0.772310614585876
Malawi,MWI,Voice and Accountability: Estimate,VA.EST,-0.148771479725838,-0.190968170762062,-0.245419502258301,-0.206084370613098,-0.178823113441467,-0.064276397228241,-0.00424028793349862,-0.0304317232221365,-0.0311444010585546,-0.0761848464608192,-0.110017240047455,0.00262835877947509,0.0694767460227013,0.062155295163393,0.0756149441003799
