Country Code,CC.EST,GE.EST,PV.EST,RQ.EST,VA.EST
BHS,1.2196166912714632,0.666097104549408,0.9522862911224362,0.2101763918918248,0.9160872101783749
BIH,-0.4789716204007466,-0.7155937771002456,-0.4554308173557123,-0.11969288885593402,-0.1833249725090961
BLR,-0.3653467776874701,-0.7551443994045257,-0.11496030526856578,-1.0791010061899817,-1.5051710844039918
BLZ,-0.17011258242030936,-0.44956462780634576,0.1850652444021157,-0.46601446469624835,0.5894900242487591
BMU,1.2354308207829794,1.1688448508580518,0.9725379347801215,1.0468840479850774,0.9983101725578305
BOL,-0.715276712179184,-0.5587737421194713,-0.36766653358936313,-0.9650000214576723,-0.07902922844514247
BRA,-0.31530831431349104,-0.3010851497451464,-0.2850241804495453,-0.04955653995275502,0.41086393396059673
BRB,1.3712374925613393,0.9278212348620101,1.1079542477925624,0.4930708885192871,1.122328980763754
BRN,0.8392782568931584,1.118373580773672,1.189292625586192,0.928408451875051,-0.7575708150863647
BTN,1.2560904542605082,0.48336944977442425,0.9411241213480636,-0.7068702598412829,-0.0687853623802463
BWA,0.7932452201843261,0.3748795876900354,1.0312276045481363,0.6065864721934002,0.4595516006151835
CAF,-1.1706730882326761,-1.655767329533894,-2.0778040011723857,-1.3557742675145452,-1.2074943304061898
CAN,1.8279333829879751,1.6993712981541944,1.0413644870122272,1.706757839520771,1.4398929278055828
CHE,2.0331631660461427,1.9665782928466802,1.2733809153238946,1.6975167592366533,1.5767650842666638
CHL,1.1910564978917435,0.9140373786290495,0.3320685037722191,1.269599457581837,1.0252036968866984
CHN,-0.2816855444262425,0.3660751710645855,-0.47444730798403423,-0.30104827185471855,-1.6079388459523518
CIV,-0.6384026825428015,-0.7853686809539798,-1.0264753301938376,-0.5196348990003268,-0.566042974591255
CMR,-1.157415835062662,-0.8773842652638754,-1.056502638260524,-0.8634113629659016,-1.0726758718490597
COD,-1.4468104998270672,-1.6511269172032668,-2.049546877543133,-1.4458493471145628,-1.358247820536296
COG,-1.2906772375106819,-1.212200506528218,-0.3242248967289925,-1.3003453811009713,-1.1531896988550823
COK,-0.2061598747968672,-0.7548152165753507,1.1478796824812898,-0.8311243983251705,0.37879300930283244
COL,-0.36131445169448856,-0.0692194754413019,-1.0660848140716555,0.2568169623613357,0.046423011645674604
COM,-0.8903539021809892,-1.6920111497243258,-0.29891107603907585,-1.24462685585022,-0.5084651529788969
CPV,0.8924568494160972,0.08720867444450656,0.8067715545495351,-0.0066843860384930365,0.9411367098490397
CRI,0.6015792608261108,0.29611329957842825,0.6685250957806905,0.568000994126002,1.0902054786682134
CUB,0.09977934801330171,-0.2580942259635776,0.4847374677658081,-1.478429238001507,-1.4975639820098867
CYM,0.7939700643221534,1.1961378574371337,1.2609335939089445,1.0012099703152975,0.5638856371243792
CYP,0.7649300853411354,1.0700999855995184,0.49611929257710774,1.0334127386411032,0.9964959661165878
CZE,0.49499640266100564,0.9793169617652903,0.9778061668078106,1.1989410440127053,0.9840825756390889
DEU,1.7927277167638138,1.4882187525431307,0.7179938713709514,1.6235888401667278,1.3935932636260986
DJI,-0.6415424366792043,-0.9372897466023752,-0.27413179328044246,-0.7221188286940257,-1.3647390206654861
DMA,0.6359625697135926,0.2179587677121163,1.0942544023195901,0.2657563626766204,0.9035633405049643
DNK,2.2947689533233646,1.9331427335739129,0.9354341983795164,1.7513614416122438,1.5695479551951075
DOM,-0.7705626408259074,-0.36376541866920875,0.1418880163245679,-0.016118271648883783,0.1768881931900978
DZA,-0.6069790303707123,-0.5032576104005178,-1.0407807509104408,-1.206940519809722,-0.9621963659922291
ECU,-0.6227338433265686,-0.4386818736791611,-0.3068216975778342,-0.9077969650427502,-0.1383162316245337
EGY,-0.6176823119322459,-0.48039299249649037,-1.2260505954424545,-0.5825487961371739,-1.2475970427195244
ERI,-1.0826984862486515,-1.648658569653828,-0.7994146466255186,-2.1971036275227878,-2.114491335550946
ESP,0.7931416352589922,0.9920503020286565,0.16425325603534782,0.9180006186167408,1.0547209382057192
EST,1.2971527179082243,1.1181109786033638,0.6654283165931701,1.523851346969604,1.164771080017089
ETH,-0.5183686236540478,-0.6270152906576791,-1.6294400930404662,-1.0012508869171142,-1.23244033654531
FIN,2.193153524398803,2.004117576281229,1.113356598218282,1.8255520343780514,1.5614454587300601
FJI,0.3499552185336749,-0.13152463833491013,0.4296269811689854,-0.2626621388519803,-0.3266830091675119
FRA,1.3132577498753861,1.3471831878026341,0.33242245968431244,1.1794189135233573,1.1664758682250966
FSM,0.39525122940540314,-0.10742113540569938,1.1335483630498244,-0.8528131802876787,1.0902616421381635
GAB,-0.849201651414235,-0.8330733577410377,0.0431805863355597,-0.6888028462727864,-0.9285750905672704
GBR,1.6952359676361082,1.4633183399836225,0.4031033625205357,1.658735044797262,1.296970224380494
GEO,0.5208610493689775,0.5393482486406962,-0.5019105950991313,0.8366950511932375,0.08474670226375267
GHA,-0.11659286314000684,-0.18624314616123835,0.02076182564099619,-0.08955830236275994,0.4958557148774464
GIN,-1.030388116836547,-1.0623436689376824,-1.012951429684958,-0.9703928947448739,-0.9357344706853225
GMB,-0.5537311971187592,-0.7397184054056803,-0.00611103516809328,-0.563128360112508,-0.7540351790686448
GNB,-1.3702275753021234,-1.445013626416524,-0.6068883160750072,-1.234625879923504,-0.7307799100875855
GNQ,-1.4672244310379026,-1.220890768369038,-0.061458822091420416,-1.5666863282521568,-1.8669545729955037
GRC,-0.0373676935831706,0.3318610727787016,-0.03535934090614321,0.4749052365620931,0.8016860922177632
GRD,0.4478662788867949,0.03917117980308828,0.784418787558874,0.12243563433488211,0.7491744875907898
GRL,1.1355520645777397,0.8658020734786985,1.8274239460627228,1.3325866222381595,1.2765216509501138
GTM,-0.8294784903526302,-0.7530006130536397,-0.5847424536943436,-0.2825287252664566,-0.361955593029658
GUF,0.9914356470108033,1.2114738305409747,0.3460833917061487,1.2572963714599616,1.2216709852218626
GUM,1.07486865123113,0.2813767102857432,0.7397882918516795,0.39468161761760717,0.979484808444977
GUY,-0.4563769936561585,-0.24170298973719287,-0.23959108553826802,-0.555605818827947,0.1565935921389609
HKG,1.6788892745971677,1.720717438062031,0.7093454224367937,1.906849654515584,0.29472489791611844
HND,-0.8702369411786403,-0.7052528142929078,-0.4799318730831146,-0.39537281195322665,-0.49389103253682454
HRV,0.08709019459784025,0.5568502147992452,0.6409842054049173,0.414998588959376,0.5253939708073934
HTI,-1.2888864040374761,-1.9603372812271131,-0.905397407213847,-1.181460710366567,-0.8254872163136803
HUN,0.14171490025473757,0.5477850556373596,0.7220861832300821,0.7044890781243643,0.5723221878210704
IDN,-0.552272367477417,0.00024684953192869824,-0.5610224942366282,-0.03351372393469017,0.10131236241819967
IND,-0.3875337580839793,0.10395368572014069,-0.9828784624735519,-0.2889125647644202,0.3218515761196613
IRL,1.6021464904149387,1.4373644034067787,0.9473874251047772,1.6358513593673714,1.3466313123703015
IRN,-0.9045433719952901,-0.5879263410965603,-1.359665735562642,-1.4902725696563721,-1.4861434300740568
IRQ,-1.3459607919057215,-1.2049448728561392,-2.289937464396158,-1.1299672404925014,-1.0263920307159424
ISL,1.8082658211390172,1.504064551989238,1.2963439226150508,1.248602465788524,1.3955438296000167
ISR,0.8245273987452192,1.2580333789189666,-1.107820590337117,1.217344872156777,0.6663751840591431
ITA,0.2575675830245018,0.4581808586915335,0.43352609872817993,0.710995666186015,1.0024876991907758
JAM,-0.19916776157915586,0.3740892517069975,0.1459220225612323,0.13565770555287607,0.5797752857208252
JEY,1.1101235884886518,1.2685326062715967,1.4281833722041193,0.9631949984110316,1.2784663071999185
JOR,0.11520056140919524,0.12708317451179024,-0.4043600807587307,0.15906413383781917,-0.7598478992780049
JPN,1.5121682087580353,1.581662384668986,0.9994808197021485,1.255319364865619,1.0303171594937641
KAZ,-0.667989903688431,-0.17171670719981183,-0.08521137922070911,-0.09659863822162157,-1.1572077115376789
KEN,-0.9166556954383854,-0.4455636421839396,-1.1695309082667034,-0.3272175381580988,-0.2386344889799754
KGZ,-1.1449372450510655,-0.7758136947949728,-0.6637079119682315,-0.4237579266230264,-0.595238612095515
KHM,-1.2293979485829674,-0.6810990333557129,-0.10521681966880957,-0.5452679673830667,-1.135673888524374
KIR,0.21783273331820954,-0.3442568545540174,1.109773417313893,-0.8348894317944853,0.9521736661593129
KNA,0.6754424914717674,0.6604672282934188,0.8341048955917357,0.7488706469535834,0.9608403563499459
KOR,0.5703831911087036,1.1619463443756095,0.4071036815643311,1.0381642341613762,0.7574870189030964
KWT,-0.07742731273174293,-0.05334946232226985,0.18413820614417403,0.052967442882557704,-0.6231240888436635
LAO,-1.0337904890378309,-0.6804394026597341,0.36721803496281297,-0.8824322859446208,-1.7115352471669512
LBN,-1.034995794296265,-0.6579049875338876,-1.604875675837198,-0.4455328361441687,-0.4896956046422323
LBR,-0.7680599371592203,-1.3302222887674973,-0.44166141798098857,-0.9944863597551993,-0.1364957222094139
LBY,-1.4681669632593792,-1.5095521132151293,-1.8108910205463558,-1.9153017282485967,-1.4160356760025017
LCA,0.7810993909835815,0.37182878628373145,0.8898676435152694,0.35177610715230306,1.0087184151013704
LIE,1.86330779393514,1.6854812065760294,1.5170059521992987,1.5170886754989625,1.3934359471003206
LKA,-0.3558502227067946,-0.14625935930137823,-0.4537504403541487,-0.24309082776308072,-0.2983607375373443
LSO,-0.03964488444228967,-0.7202095607916515,-0.06621181567509968,-0.5586362957954408,0.016199641752367135
LTU,0.5546264121929805,0.9323279897371932,0.764485768477122,1.136946860949198,0.9693393270174656
LUX,2.0196284373601263,1.714573216438292,1.308210309346517,1.7541212558746344,1.5561478853225703
LVA,0.4379049609104791,0.8466235081354774,0.4748390416304271,1.0910282611846909,0.8404033819834391
MAC,0.6275748620430629,1.2105108102162676,1.0113396962483725,1.6015826384226475,-0.09717926407853757
MAR,-0.3551309198141098,-0.1909809100131194,-0.38731184999148055,-0.11840823503832025,-0.6393680890401205
MCO,1.5401865508821277,1.9198955165015323,1.2155834396680207,1.2838896380530465,0.8084246516227718
MDA,-0.6721380114555359,-0.5059728294610978,-0.31667277306163055,-0.04755719228026764,-0.02193443862100442
MDG,-0.8270406901836395,-1.1153033256530762,-0.5541234354178111,-0.7182210604349772,-0.4972371687491735
MDV,-0.5080052852630615,-0.19456744392712913,0.20186663356920065,-0.4911006430784861,-0.36212781270345035
MEX,-0.7822332282861072,-0.026068136096000612,-0.7245461066563924,0.12563535707692294,0.009999404372259248
MHL,0.17155480654522137,-0.646343269571661,1.0554062406222027,-0.875086925427119,1.1360454638799038
MKD,-0.25144288316369057,-0.0848282034819325,-0.17814931105822326,0.36306367317835503,-0.004606323689222364
MLI,-0.749241030216217,-1.0141857941945398,-1.7136331553260482,-0.5741581261157991,-0.3601595863699912
